core,from,edge,to,cites_pre2010,cites,cites_empirical,mechanism,cite_weight,cite_empirical_weight,...11,...12
T,majority minority districts,increases,voter turnout,NA,Fraga 2016,Fraga 2016,"African Americans are more likely to vote when reassigned to a majority black district. Fraga relies on a theoretical ""empowerment framework,"" in which members of minority groups are more likely to participate when their group has representation and influence in politics.",1,1,NA,NA
T,redistricting commission,decrease,partisan gerrymandering,NA,Cain 2011,NA,Cain argues that independent citizen redistricting commissions are less likely to produce extremely partisan maps because they need to satisfy a supermajority by compromising on various redistricting criteria.,1,0,NA,NA
T,social network,effects,vote outcome,NA,Stewart et al. 2019,NA,"Stewart et al. introduce a concept called ""information gerrymandering,"" in which a small number of partisan extremists can sway the vote of the group towards their party.",1,0,NA,NA
NA,partisan gerrymandering,increases,concentration of likely donors in map-drawing party's districts,NA,Kirkland 2013,Kirkland 2013,"Parties care about other resources in addition to votes, such as donations. They can use redistricting to concentrate likely donors into their districts and remove them from opponents' districts, thus increasing their odds of reelection.",1,1,NA,NA
NA,change in constituency boundaries,"no effect, effects",legislator voting,NA,"Bertelli & Carson 2011, Hayes et al. 2010","Bertelli & Carson 2011, Hayes et al. 2010","Bertelli and Carson argue that partisan gerrymandering is a form of risk-sharing, in which individual members do not have to radically change their positions while maintaining their odds of reelection. In contrast, Hayes et al. say that legislators respond to the demographic changes of their constituency after redistricting.",1,1,NA,NA
NA,change in constituency boundaries,effects,legislative outcomes,NA,"Bertelli & Carson 2011, Gul & Pesendorfer 2010",Bertelli & Carson 2011,Bertelli & Carson: Partisan gerrymandering helps the majority party achieve its policy goals by increasing the odds of electoral success without requiring much sacrifice by individual members. Gul & Pesendorfer: use formal theory to show that policy outcomes are biased towards the redistricting party,1,1,NA,NA
NA,competitiveness,no effect,voter turnout,NA,Moskowitz & Schneer 2019; Hunt 2018,Moskowitz & Schneer 2019; Hunt 2018,"Moskowitz & Schneer 2019: Residents of competitive districts systematically differ from those in non-competitive districts, leading cross-sectional studies to erroneously find a relationship between competitiveness and turnout. In addition, most voters aren't aware of the competitiveness of their House race. Hunt 2018: examines data from Florida during 2012 election and finds that change in competitiveness after redistricting has a small effect on turnout",2,2,NA,NA
NA,demographic and ideological sorting,increases,geographic polarization,Abramowitz et al. (2006); McCarty et al. (2006),NA,NA,NA,0,0,NA,NA
NA,demographic and ideological sorting,increases,elite polarization,NA,Krasa & Polborn 2018,Krasa & Polborn 2018,"Krasa & Polborn 2018: electoral competition model where gerrymandering (""intensification of the median ideological preferences in some districts"") can result in increased partisan polarization",1,1,NA,NA
NA,dispersed minority population,decreases,proportional minority representation,NA,Cain et al 2005,NA,NA,1,0,NA,NA
NA,divided government,increases,incumbent stays,Cox & Katz (2002),NA,NA,NA,0,0,NA,NA
NA,divided government,decreases,partisan advantage,Cox & Katz (2002),NA,NA,NA,0,0,NA,NA
NA,independent executive,increases,constituent service,Ashworth and Bueno de Mesquita 2007,NA,NA,NA,0,0,NA,NA
NA,proportion of minority voters (in a district),increases,minority substantive representation,Cameron et al. 1996; Shotts 2003; Handley et al. 1998; Bullock 1995; Overby & Cosgrove 1996; Sharpe & Garand 2001; Swain 1993; Overby & Cosgrove 1996; LeVeaux & Garand 2003,NA,NA,An outstanding question--NOT SURE HOW TO THINK ABOUT THIS AT THE STATE LEVEL,0,0,NA,NA
NA,race-partisanship correlation,conditions,preserve communities of interest vs. Number of competitive districts,NA,NA,NA,NA,0,0,NA,NA
NA,single member districts,increase,constituent service,Ashworth and Bueno de Mesquita 2006,NA,NA,NA,0,0,NA,NA
NA,single member districts,increases,majority bias,Grofman 1982,NA,NA,NA,0,0,NA,NA
NA,contiguity,increases,partisan advantage,NA,Chen & Rodden 2013,Chen & Rodden 2013,"Democrats' concentration in cities leads to a Republican bias, due to the geographic, majoritarian nature of U.S. elections.",1,1,NA,NA
NA,campaign spending,increases,corporate bias,NA,Powell et al,NA,NA,1,0,NA,NA
NA,campaign spending,increases,elite bias,NA,Bonica,NA,NA,1,0,NA,NA
NA,campaign spending,decreases,Number of competitive districts,Abramowitz et al. 2006; McDonald 2006,NA,NA,NA,0,0,NA,NA
NA,electoral security,increases,floor voting extremism,NA,NA,NA,NA,0,0,NA,NA
NA,electoral security,increases,length in office,NA,NA,NA,NA,0,0,NA,NA
NA,electoral security,decreases,performative representation,NA,NA,NA,NA,0,0,NA,NA
NA,electoral security,decreases,legislative effort,NA,NA,NA,NA,0,0,NA,NA
NA,electorate composition change,decreases,incumbent vote share,NA,Hood & McKee 2013,Hood & McKee 2013,"Redistricting destroys the connection between a representative and their constituents; the new constituents have no such bond, so incumbency advantage is lower.",1,1,NA,NA
NA,electorate composition change,decreases,personal vote,NA,"Carsey et al. 2017, Bertelli & Carson 2011",Carsey et al. 2017,"When a legislator's district changes, the personal connection with some of their constituents is lost. Thus, legislators are less able to convert supporters of the opposite party, as they have no connections with their new constituents.",1,1,NA,NA
NA,geographic polarization,decreases,Number of competitive districts,Jacobson 2006,NA,NA,NA,0,0,NA,NA
NA,House-Senate Delegation alignment,decreases,pork spending,NA,Chen 2011,NA,NA,1,0,NA,NA
NA,incumbent advantage,decreases,Number of competitive districts,Forgette & Winkle 2006; Abramowitz et al. 2006; McDonald 2006,NA,NA,NA,0,0,NA,NA
NA,incumbent advantage,decreases,candidate quality,Cox & Katz 2002; Hetherington et al. 2003; Carson et al. 2006,NA,NA,Strong candidates from entering races because they know the odds are stacked against them.,0,0,NA,NA
NA,incumbent's constituents change,increases (but only meaningfully for already fairly competitive districts),Number of competitive districts,Desposato & Petrocik,NA,NA,NA,1,0,NA,NA
NA,institutional power,increases,constituent service,NA,Judge-Lord et al,NA,NA,1,0,NA,NA
NA,length in office,increases,institutional power,NA,NA,NA,NA,0,0,NA,NA
NA,length in office,increases,constituent service,NA,Judge-Lord et al,NA,NA,1,0,NA,NA
NA,majority bias,decreases,proportionality,Grofman 1982,NA,NA,NA,0,0,NA,NA
NA,minority substantive representation,increases,material benefits for minorities,Griffin & Newman 2007,NA,NA,NA,0,0,NA,NA
NA,number of districts with competitive primaries,increases,floor voting extremism,NA,NA,NA,NA,0,0,NA,NA
NA,number of districts with competitive primaries,increases,performative extremism,NA,NA,NA,NA,0,0,NA,NA
NA,number of minority representatives,increases,minority substantive representation,Griffin & Newman 2007; Canon 1999; Gay 2007; Bratton & Haynie 1999,NA,NA,NA,0,0,NA,NA
NA,stability in voters' fellow constituents,increases,voter information about their district,Hayes & McKee 2009,NA,NA,NA,0,0,NA,NA
NA,stability in voters' fellow constituents,increases heterogeneously by race,voter sense of place,NA,Hayes & McKee 2011,Hayes & McKee 2011,NA,1,1,NA,NA
NA,voter information about their district,decreases,rolloff,Hayes & McKee 2008,Winburn & Wagner 2010,NA,NA,1,0,NA,NA
NA,voter information about their district,decreases,turnout,Sekhon and Titiunik (2007),NA,NA,NA,0,0,NA,NA
NA,voter information about their district,decreases,voter recall,NA,Winburn & Wagner 2010,NA,NA,1,0,NA,NA
NA,voter information about their district,increases,split ticket voting,NA,Winburn & Wagner 2011,NA,NA,1,0,NA,NA
NA,voter sense of place,increases,turnout,NA,NA,NA,NA,0,0,NA,NA
NA,electorate composition change,no effect,campaign resource allocation,NA,Limbocker & You 2020,Limbocker & You 2020,"Candidates have their own campaign style, so their resource allocation decisions do not change even when the electoral circumstances change.",1,1,NA,NA
NA,geographic clustering,increases,partisan advantage,NA,Chen & Rodden 2013,Chen & Rodden 2013,Democrats are inefficiently geographically distributed; they run up the score in large cities which leads to a discrepency between total vote share and seat share.,1,1,NA,NA
NA,communities preserved,decreases,Number of competitive districts,Lublin & McDonald 2006; Wildgen & Engstrom 1980,NA,NA,"If racial groups or like municipal jurisdictions have partisan leanings, then preserving communities will tend to create safe districts.",0,0,NA,NA
NA,communities preserved,increases,stability in voters' fellow constituents,Hayes & McKee 2008,Winburn & Wagner 2010,NA,NA,1,0,NA,NA
NA,communities preserved,increases,voter information about their district,NA,Winburn & Wagner 2010,NA,NA,1,0,NA,NA
NA,communities preserved,increases,number of districts with competitive primaries,NA,NA,NA,NA,0,0,NA,NA
NA,communities preserved,increases heterogeneously by race,turnout,NA,Sekhon and Titiunik (2007),NA,NA,1,0,NA,NA
NA,communities preserved,decreases heterogeneously by race,rolloff,NA,Hayes & McKee 2011; Winburn & Wagner 2010,Hayes & McKee 2011,NA,2,1,NA,NA
NA,Number of competitive districts,"decreases if cor(party,municipality)>0",preserve municipal jurisdictions,NA,NA,NA,NA,0,0,NA,NA
NA,Number of competitive districts,increases,constituent service,Ashworth and Bueno de Mesquita 2005,NA,NA,NA,0,0,NA,NA
NA,Number of competitive districts,decreases,electoral security,NA,NA,NA,NA,0,0,NA,NA
NA,Number of competitive districts,decreases,number of districts with competitive primaries,NA,NA,NA,NA,0,0,NA,NA
NA,Number of competitive districts,increases,campaign spending,NA,NA,NA,NA,0,0,NA,NA
NA,Number of competitive districts,decreases,elite polarization,Bond & Fleisher 2000; Fiorina et al. 2005; Eilperin 2006,Grainger 2010,Grainger 2010,Safe partisan seats tend to increase partisan polarization.,1,1,NA,NA
NA,Number of competitive districts,increases,incumbent turnover,NA,NA,NA,NA,0,0,NA,NA
NA,Number of competitive districts,increases,the number of marginal seats,NA,NA,NA,NA,0,0,NA,NA
NA,Number of competitive districts,increases,the proportion of contested seats,NA,NA,NA,NA,0,0,NA,NA
NA,partisan advantage,decreases,floor votes align with district preferences,NA,Caughey et al. 2017,NA,TODO,1,0,NA,NA
NA,partisan advantage,decreases,Alignment of floor vote breakdown with statewide majority of voters,NA,Caughey et al. 2017,NA,TODO,1,0,NA,NA
NA,partisan advantage,NA,partisan advantage,NA,"Katz, King & Rosenblatt 2020",NA,Measures of partisan symmetry/bias/advantage,1,0,NA,NA
NA,partisan advantage,no effect,legislator voting,NA,Lo 2013,Lo 2013,Legislators do not change their ideological positions after redistricting (though The Electoral Connection suggests they should),1,1,NA,NA
NA,partisan advantage,no effect,elite polarization,NA,Lo 2013,NA,"Because vulnerable legislators do not moderate their positions, Lo assumes that safe legislators do not become more extreme",1,0,NA,NA
NA,partisan advantage,no effect,efficiency gap,NA,Chen & Cottrell 2016,Chen & Cottrell 2016,"Gerrymandering does not affect the electoral results in most states, and in the states where it does have an effect, the effect is small. Republicans are expected to net only one additional seat in Congress due to gerrymandering.",1,1,NA,NA
NA,partisan advantage,increases,number of competitive districts,NA,Goedert 2017,"Goedert 2017, Yoshinaka & Murhpy 2011","Large changes in the national partisan tide causes garrymanders to backfire on the map-drawing party (an effect known as the ""dummymander""), as their members face unexpectedly competitive elections.",1,1,NA,NA
NA,preserve communities of interest,increases,communities preserved,NA,NA,NA,NA,0,0,NA,NA
NA,preserve municipal jurisdictions,increases,communities preserved,NA,NA,NA,NA,0,0,NA,NA
NA,proportional minority representation,"increases if cor(party, race)>0",proportionality,Handley et al. 1998,NA,NA,NA,0,0,NA,NA
NA,proportionality,increases,Alignment of floor vote breakdown with statewide majority of voters,NA,NA,NA,If the number of representatives from each party is proportional to the state population then the delegation's floor votes will often break down similar to the distribution of preferences in the state population.,0,0,NA,NA
NA,proportionality,"increases if cor(party, race)>0",proportional minority representation,Handley et al. 1998,NA,NA,NA,0,0,NA,NA
NA,proportionality,increases,House-Senate Delegation alignment,NA,Chen 2010,NA,NA,1,0,NA,NA
NA,proportionality,decreases,majority,NA,NA,NA,NA,0,0,NA,NA
NA,compactness,decreases,minority representation,Barabas & Jerit 2004,Webster 2013,NA,"Webster 2013: citing earlier research, Webster posits that compactness hinders a map drawer's ability to create districts for historically underrepresented groups.",1,0,NA,NA
NA,compactness,decreases (perhaps only for incumbent-protecting maps?),incumbent advantage,Forgette & Platt 2005; Winburn 2008,NA,NA,NA,0,0,NA,NA
NA,compactness,NA,compactness,NA,"Barnes & Solomon 2020; Gatesman & Unwin 2021; Magleby & Mosesson 2018; De Assis et al. 2014; Altman & McDonald 2011; Lie et al. 2016, Chen & Rodden 2015, Tam Cho & Liu 2016, Saxon 2020","Barnes & Solomon 2020; Magleby & Mosesson 2018; De Assis et al. 2014; Chen & Rodden 2015, Tam Cho & Liu 2016, Saxon 2020","Barnes & Solomon 2020: measuring compactness can have associated flexibility that can be abused (geography, topography, cartographic projections, and resolution); Gatesman & Unwin 2021: lattice models for accounting gerrymandered, equal-pop, connected districts; Magleby & Mosesson 2018: graph partition algorithm for drawing districts based on compactness and equal population metrics.De Assis et al. 2014: Greedy randomized adaptive search procedure can balance multiple criteria, including compactness. Altman & McDonald 2011: produce an open source package that allows users to adjust weights of redistricting criteria, including redistricting. Liu et al.; propose a method of parallel evolutionary computation to solve the optimization problem of redistricting. Chen & Rodden; simulation-based method also takes compactness into account to draw district maps and identify gerrymanders. Tam Cho & Liu; use compactness in their redistricting algorithm. Saxon 2020: software for applying compactness/contiguity/equipopulation objectives to evaluate maps -- specific focus on different definitions of compactness.",6,4,NA,NA
NA,core retention,increases,legislator information about district,NA,"spinning out Butler, Broockman, and Hertel-Fernandez",NA,NA,1,0,NA,NA
NA,core retention,increases,incumbent advantage,NA,NA,NA,NA,0,0,NA,NA
NA,efficiency gap,NA,efficiency gap,NA,"Stephanopoulos & McGhee 2015, McGhee 2014",McGhee 2014,"Stephanopoulos and McGhee propose a measure of partisan symmetry to be adopted by the courts, in order to limit partisan influence over redistricting; McGhee distinguishes efficiency from related concepts of symmetry and responsiveness",1,1,NA,NA
NA,equal population,NA,equal population,NA,Gatesman & Unwin 2021; Magleby & Mosesson 2018,Magleby & Mosesson 2018,"Gatesman & Unwin 2021: lattice models for accounting gerrymandered, equal-pop, connected districts; Magleby & Mosesson 2018: graph partition algorithm for drawing districts based on compactness and equal population metrics. Altman & McDonald 2011: produce an open source package that allows users to adjust weights of redistricting criteria, including equality of population",2,1,NA,NA
NA,bipartisan gerrymander,increases,incumbent advantage,Lyons & Galderisi 1995; Hirsch 2003; McDonald 2006,NA,NA,"Bipartisan agreements, forged through mutual self-interest among officeholders in both parties, keep incumbent districts extremely safe. Larger states, like California, happened to conduct their redistricting using this method after the 2000 census.",0,0,NA,NA
NA,executive veto over maps,decreases,partisan advantage,NA,NA,NA,NA,0,0,NA,NA
NA,incumbent stays,increases,incumbent advantage,McDonald 2006,NA,NA,NA,0,0,NA,NA
NA,incumbent stays,decreases,partisan advantage,Cain 1985; Wyrick 1991,NA,NA,NA,0,0,NA,NA
NA,incumbent stays,increases,incumbent advantage,Forgette & Winkle 2006,NA,NA,NA,0,0,NA,NA
NA,judicial review,heterogeneous (conditional on partisan alignment of court and map makers),partisan advantage,Cain et al. 2005,NA,NA,NA,0,0,NA,NA
NA,majority minority districts,decreases,interracial coalitions,Swain (1993),NA,NA,NA,0,0,NA,NA
NA,majority minority districts,decreases,minority substantive representation,Cameron et al. 1996;Asked again by Griffin & Newman 2007,NA,NA,NA,0,0,NA,NA
NA,minority influence districts,increases,Number of competitive districts,NA,NA,NA,NA,0,0,degree,NA
NA,minority influence districts,decreases,incumbent advantage,NA,NA,NA,NA,0,0,empirical,NA
NA,minority influence districts,increases,minority substantive representation,Lublin 1999,NA,NA,"Multiple districts with black constituencies spread pressure among more representatives, leading to greater substantive representation of black interests.",0,0,NA,NA
NA,redistricting commission,increases,Number of competitive districts,Carson & Crespin 2004; McDonald 2006,NA,NA,Still an open question.,0,0,NA,NA
NA,redistricting commission,no effect,representation of majority opinion,NA,Matsusaka 2010,Matsusaka 2010,"Matsusaka does not discuss a mechanism for this relationship, but finds that other electoral rules, such as campaign finance regulations and ballot access rules, are also not associated with greater congruence between public opinion and legislative behavior.",1,1,NA,NA
NA,redistricting commission,increases,elite ideological moderation,NA,McGhee & Shor 2017,McGhee & Shor 2017,"McGhee and Shor focus on the effect of the Top Two primary on elite moderation, but argue that the introduction of independent redistricting commissions may also lead to greater moderation by creating more competitive districts.",1,1,NA,NA
NA,redistricting commission,"increases, no effect",competitiveness,NA,"Carson et al. 2014, Grainger 2010, Masket et al. 2012","Carson et al. 2014, Grainger 2010, Masket et al. 2012",Carson et al.: increased ideological polarization and the availability of redistricting computer software encourages elites to draw non-competitive districts in order to increase their odds of reelection. Masket et al.: partisan redistricting does not effect competition much and is swamped by other factors,1,1,NA,NA
NA,redistricting by courts,increases,competitiveness,NA,Carson et al. 2014,Carson et al. 2014,NA,1,1,NA,NA
NA,preserve communities of interest vs. Number of competitive districts,conditions,communities preserved,NA,NA,NA,NA,0,0,centrality,betweeness
NA,preserve communities of interest vs. Number of competitive districts,conditions,Number of competitive districts,NA,NA,NA,NA,0,0,hub,NA
NA,upcoming redistricting,increases,legislative majority-seeking behavior,NA,Makse 2014,Makse 2014,"Parties have a greater incentive to become the majority party in the state legislature if redistricting is imminent and controlled by the legislature, as they can then determine the new district boundaries",1,1,NA,NA
NA,community,increases,communities preserved,NA,NA,NA,NA,0,0,NA,NA
NA,community,NA,community,NA,"Deford, Eubank & Rodden 2020",NA,"Deford, Eubank & Rodden 2020: new measure ""partisan dislocation"" which proxies for cracking/packing",1,0,NA,NA
NA,geographic continuity,heterogeneously correlated,compactness,NA,NA,NA,NA,0,0,NA,NA
NA,geographic continuity,heterogeneously correlated,core retention,NA,NA,NA,NA,0,0,NA,NA
NA,geographic continuity,heterogeneously correlated,communities preserved,NA,NA,NA,NA,0,0,NA,NA
NA,historical continuity,"heterogeneously correlated (depending on goals of past districting); often increases (where lines previously mapped onto communities), but may decrease where community was previously cracked",communities preserved,NA,NA,NA,NA,0,0,NA,NA
NA,historical continuity,heterogeneously correlated (depending on goals of past districting),compactness,NA,NA,NA,NA,0,0,NA,NA
NA,historical continuity,increases,core retention,NA,NA,NA,NA,0,0,NA,NA
NA,historical continuity,heterogeneously correlated (depending on goals of past districting),communities preserved,NA,NA,NA,NA,0,0,NA,NA
NA,minority rights,parabolic,proportional minority representation,NA,NA,NA,NA,0,0,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
